,,,,,,,,,,,
Tract Code,Tract Income Level,"Distressed or Under 
-served Tract",Tract Median Family Income %,2023 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,2023 Est. Tract Median Family Income,2020 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units
122.04,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,2570,64.05,1646,102,0
123.01,Low,No,39.53,"$ 1,73,200","$ 68,466","$ 56,750",3088,71.47,2207,35,34
123.02,Low,No,47.74,"$ 1,73,200","$ 82,686","$ 68,529",2875,63.76,1833,0,74
124.03,Low,No,41.72,"$ 1,73,200","$ 72,259","$ 59,892",2157,76.87,1658,0,49
124.04,Low,No,25.22,"$ 1,73,200","$ 43,681","$ 36,207",3849,78.98,3040,0,48
124.05,Middle,No,96.12,"$ 1,73,200","$ 1,66,480","$ 1,37,961",4152,58.29,2420,0,92
124.06,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,1936,74.12,1435,124,0
125.02,Low,No,36.13,"$ 1,73,200","$ 62,577","$ 51,857",4482,80.30,3599,0,68
125.03,Low,No,40.31,"$ 1,73,200","$ 69,817","$ 57,868",4260,72.91,3106,0,0
125.04,Low,No,17.41,"$ 1,73,200","$ 30,154","$ 25,000",2277,64.65,1472,57,24
126.01,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",2577,25.46,656,291,547
126.02,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",3058,24.59,752,490,574
127.00,Upper,No,156.49,"$ 1,73,200","$ 2,71,041","$ 2,24,613",3769,23.83,898,790,1109
128.01,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",2742,26.22,719,523,975
128.02,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",1901,23.78,452,240,583
129.01,Upper,No,137.57,"$ 1,73,200","$ 2,38,271","$ 1,97,458",2853,28.53,814,303,603
129.02,Upper,No,163.26,"$ 1,73,200","$ 2,82,766","$ 2,34,333",3667,29.29,1074,338,837
130.01,Middle,No,117.35,"$ 1,73,200","$ 2,03,250","$ 1,68,429",2405,27.03,650,257,471
130.02,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",2144,26.21,562,329,678
131.01,Upper,No,153.56,"$ 1,73,200","$ 2,65,966","$ 2,20,403",4197,34.29,1439,459,320
131.02,Upper,No,155.45,"$ 1,73,200","$ 2,69,239","$ 2,23,125",2938,31.96,939,418,300
132.00,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",4464,25.72,1148,960,1269
133.00,Upper,No,170.84,"$ 1,73,200","$ 2,95,895","$ 2,45,208",4344,26.82,1165,894,1234
134.01,Upper,No,148.00,"$ 1,73,200","$ 2,56,336","$ 2,12,422",1623,30.25,491,225,427
134.02,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",2253,29.96,675,367,529
135.00,Upper,No,174.18,"$ 1,73,200","$ 3,01,680","$ 2,50,001",2912,34.51,1005,471,503
151.00,Upper,No,126.61,"$ 1,73,200","$ 2,19,289","$ 1,81,719",3104,47.97,1489,502,112
152.01,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,1888,45.50,859,151,110
152.02,Upper,No,145.49,"$ 1,73,200","$ 2,51,989","$ 2,08,819",2286,41.60,951,367,413
153.00,Middle,No,98.84,"$ 1,73,200","$ 1,71,191","$ 1,41,875",2387,36.78,878,323,498
154.01,Unknown,No,0.00,"$ 1,73,200",$ 0,$ 0,3659,44.55,1630,623,1138
154.02,Upper,No,168.59,"$ 1,73,200","$ 2,91,998","$ 2,41,974",2541,35.38,899,412,851
155.00,Middle,No,111.93,"$ 1,73,200","$ 1,93,863","$ 1,60,657",3899,58.91,2297,251,558
156.00,Middle,No,91.54,"$ 1,73,200","$ 1,58,547","$ 1,31,384",3274,51.86,1698,400,850
157.01,Moderate,No,77.99,"$ 1,73,200","$ 1,35,079","$ 1,11,938",4882,60.63,2960,332,761
157.02,Upper,No,149.18,"$ 1,73,200","$ 2,58,380","$ 2,14,118",3220,44.50,1433,623,905
158.01,Moderate,No,55.08,"$ 1,73,200","$ 95,399","$ 79,063",3869,62.03,2400,393,457
158.02,Upper,No,137.05,"$ 1,73,200","$ 2,37,371","$ 1,96,713",3116,39.15,1220,295,644
159.00,Moderate,No,65.27,"$ 1,73,200","$ 1,13,048","$ 93,684",4630,67.71,3135,572,299
160.00,Middle,No,85.04,"$ 1,73,200","$ 1,47,289","$ 1,22,065",2969,59.21,1758,370,36
161.01,Low,No,18.44,"$ 1,73,200","$ 31,938","$ 26,473",2780,60.97,1695,125,175
161.02,Low,No,29.49,"$ 1,73,200","$ 51,077","$ 42,333",2880,93.02,2679,93,171
162.00,Upper,No,165.65,"$ 1,73,200","$ 2,86,906","$ 2,37,759",3672,51.85,1904,388,502
163.00,Middle,No,100.21,"$ 1,73,200","$ 1,73,564","$ 1,43,831",4296,52.56,2258,449,1108
