soc_id,soc_code
667,47-2072.00
668,47-2073.00
669,47-2081.00
670,47-2082.00
671,47-2111.00
672,47-2121.00
673,47-2131.00
674,47-2132.00
675,47-2141.00
676,47-2142.00
677,47-2151.00
678,47-2152.00
679,47-2152.04
680,47-2161.00
681,47-2171.00
682,47-2181.00
683,47-2211.00
684,47-2221.00
685,47-2231.00
686,47-3011.00
687,47-3012.00
688,47-3013.00
689,47-3014.00
690,47-3015.00
691,47-3016.00
692,47-4011.00
693,47-4011.01
694,47-4021.00
695,47-4031.00
696,47-4041.00
697,47-4051.00
698,47-4061.00
699,47-4071.00
700,47-4091.00
701,47-4099.03
702,47-5011.00
703,47-5012.00
704,47-5013.00
705,47-5022.00
706,47-5023.00
707,47-5032.00
708,47-5041.00
709,47-5043.00
710,47-5044.00
711,47-5051.00
712,47-5071.00
713,47-5081.00
714,49-1011.00
715,49-2011.00
716,49-2021.00
717,49-2022.00
718,49-2091.00
719,49-2092.00
720,49-2093.00
721,49-2094.00
722,49-2095.00
723,49-2096.00
724,49-2097.00
725,49-2098.00
726,49-3011.00
727,49-3021.00
728,49-3022.00
729,49-3023.00
730,49-3031.00
731,49-3041.00
732,49-3042.00
733,49-3043.00
734,49-3051.00
735,49-3052.00
736,49-3053.00
737,49-3091.00
738,49-3092.00
739,49-3093.00
740,49-9011.00
741,49-9012.00
742,49-9021.00
743,49-9031.00
744,49-9041.00
745,49-9043.00
746,49-9044.00
747,49-9045.00
748,49-9051.00
749,49-9052.00
750,49-9061.00
751,49-9062.00
752,49-9063.00
753,49-9064.00
754,49-9071.00
755,49-9081.00
756,49-9091.00
757,49-9092.00
758,49-9094.00
759,49-9095.00
760,49-9096.00
761,49-9097.00
762,49-9098.00
763,49-9099.01
764,51-1011.00
765,51-2011.00
766,51-2021.00
767,51-2022.00
768,51-2023.00
769,51-2031.00
770,51-2041.00
771,51-2051.00
772,51-2061.00
773,51-2092.00
774,51-3011.00
775,51-3021.00
776,51-3022.00
777,51-3023.00
778,51-3091.00
779,51-3092.00
780,51-3093.00
781,51-4021.00
782,51-4022.00
783,51-4023.00
784,51-4031.00
785,51-4032.00
786,51-4033.00
787,51-4034.00
788,51-4035.00
789,51-4041.00
790,51-4051.00
791,51-4052.00
792,51-4061.00
793,51-4062.00
794,51-4071.00
795,51-4072.00
796,51-4081.00
797,51-4111.00
798,51-4121.00
799,51-4122.00
800,51-4191.00
801,51-4192.00
802,51-4193.00
803,51-4194.00
804,51-5111.00
805,51-5112.00
806,51-5113.00
807,51-6011.00
808,51-6021.00
809,51-6031.00
810,51-6041.00
811,51-6042.00
812,51-6051.00
813,51-6052.00
814,51-6061.00
815,51-6062.00
816,51-6063.00
817,51-6064.00
818,51-6091.00
819,51-6092.00
820,51-6093.00
821,51-7011.00
822,51-7021.00
823,51-7031.00
824,51-7032.00
825,51-7041.00
826,51-7042.00
827,51-8011.00
828,51-8012.00
829,51-8013.00
830,51-8013.03
831,51-8013.04
